1:26291902-26292836 peak within reach of gene downregulated tet2
15:4450743-4451668 peak within reach of gene downregulated tfdp2
16:51217061-51217955 peak within reach of gene downregulated ago1
16:51203827-51204755 peak within reach of gene downregulated ago1
18:20243224-20243968 peak within reach of gene downregulated tle3a
18:23895225-23896271 peak within reach of gene downregulated nr2f2
18:24047695-24048854 peak within reach of gene downregulated nr2f2
2:33160160-33160991 peak within reach of gene downregulated rnf220a
2:33097398-33098307 peak within reach of gene downregulated rnf220a
2:33080010-33080916 peak within reach of gene downregulated rnf220a
24:23277030-23277885 peak within reach of gene downregulated zfhx4
24:23300598-23301430 peak within reach of gene downregulated zfhx4
24:38042151-38043077 peak within reach of gene downregulated metrn
5:17702640-17703595 peak within reach of gene downregulated fbrsl1
7:17084192-17085259 peak within reach of gene downregulated nav2a
7:17074003-17074798 peak within reach of gene downregulated nav2a
