10:22569837-22570928 peak within reach of gene upregulated efnb3a
1:11213914-11214823 peak within reach of gene upregulated sdk1b
11:15630796-15631766 peak within reach of gene upregulated gdf11
1:11836331-11837279 peak within reach of gene upregulated ttyh3b
1:11789992-11790944 peak within reach of gene upregulated ttyh3b
11:27304043-27305003 peak within reach of gene upregulated fbln2
11:28370375-28371271 peak within reach of gene upregulated ephb2b
11:28903135-28904141 peak within reach of gene upregulated igsf21a
11:3400764-3401657 peak within reach of gene upregulated acap3b
11:3447056-3448099 peak within reach of gene upregulated acap3b
11:35796745-35797268 peak within reach of gene upregulated bhlhe40
11:35811270-35812186 peak within reach of gene upregulated bhlhe40
11:35762907-35763736 peak within reach of gene upregulated bhlhe40
11:35848688-35849581 peak within reach of gene upregulated bhlhe40
11:35797381-35798259 peak within reach of gene upregulated bhlhe40
1:19397630-19398566 peak within reach of gene upregulated rbm47
1:19338317-19339201 peak within reach of gene upregulated rbm47
1:2172208-2173118 peak within reach of gene upregulated mbnl2
1:2143311-2144201 peak within reach of gene upregulated mbnl2
12:25600294-25601132 peak within reach of gene upregulated six3b
12:25544061-25544953 peak within reach of gene upregulated six3b
12:25528029-25528906 peak within reach of gene upregulated six3b
1:24043605-24044493 peak within reach of gene upregulated lrba
1:24028836-24029712 peak within reach of gene upregulated lrba
1:24043605-24044493 peak within reach of gene upregulated mab21l2
1:24028836-24029712 peak within reach of gene upregulated mab21l2
1:26291902-26292836 peak within reach of gene upregulated cxxc4
1:27052609-27053481 peak within reach of gene upregulated bnc2
1:29812662-29813580 peak within reach of gene upregulated zic2b
1:29814559-29815467 peak within reach of gene upregulated zic2b
13:10563011-10563889 peak within reach of gene upregulated camkmt
13:10563011-10563889 peak within reach of gene upregulated prepl
13:16827223-16828136 peak within reach of gene upregulated lrmda
13:17143922-17144832 peak within reach of gene upregulated lrmda
13:17027874-17028811 peak within reach of gene upregulated lrmda
13:22600327-22601217 peak within reach of gene upregulated ldb3a
13:22660575-22661384 peak within reach of gene upregulated bmpr1aa
13:22600327-22601217 peak within reach of gene upregulated bmpr1aa
13:32146472-32147232 peak within reach of gene upregulated osr1
13:33888449-33889300 peak within reach of gene upregulated flrt3
13:33865229-33866088 peak within reach of gene upregulated flrt3
13:41540199-41541095 peak within reach of gene upregulated pcdh15a
13:43411045-43411944 peak within reach of gene upregulated smoc2
13:43416330-43417380 peak within reach of gene upregulated smoc2
1:39652269-39653215 peak within reach of gene upregulated tenm3
1:39391443-39392346 peak within reach of gene upregulated tenm3
14:17534661-17535541 peak within reach of gene upregulated fgfrl1a
1:42724522-42725461 peak within reach of gene upregulated lrrtm1
14:5051124-5052056 peak within reach of gene upregulated nanos1
15:17586851-17587808 peak within reach of gene upregulated adamts15b
15:17586851-17587808 peak within reach of gene upregulated adamts15b
15:22467158-22468062 peak within reach of gene upregulated oafa
15:22467158-22468062 peak within reach of gene upregulated arhgef12a
15:25941712-25942703 peak within reach of gene upregulated dph1
15:27401621-27402368 peak within reach of gene upregulated tbx2b
15:27428213-27429097 peak within reach of gene upregulated tbx2b
15:27312180-27313089 peak within reach of gene upregulated tbx2b
15:27363914-27364733 peak within reach of gene upregulated tbx2b
15:32933444-32934344 peak within reach of gene upregulated nbeab
