11:20029674-20030460 peak within reach of gene upregulated fezf2
11:28305775-28306856 peak within reach of gene upregulated ephb2b
11:28169968-28170875 peak within reach of gene upregulated ephb2b
12:23352655-23353569 peak within reach of gene upregulated mpp7a
12:24590878-24591805 peak within reach of gene upregulated nrxn1a
12:24595089-24595992 peak within reach of gene upregulated nrxn1a
12:24569222-24570031 peak within reach of gene upregulated nrxn1a
12:24574036-24574946 peak within reach of gene upregulated nrxn1a
12:24561401-24562459 peak within reach of gene upregulated nrxn1a
12:25565324-25566207 peak within reach of gene upregulated six3b
12:25564126-25564962 peak within reach of gene upregulated six3b
12:25568229-25569134 peak within reach of gene upregulated six3b
12:25600294-25601132 peak within reach of gene upregulated six3b
12:45764086-45764989 peak within reach of gene upregulated pax2b
12:45719936-45721002 peak within reach of gene upregulated pax2b
12:45876015-45876910 peak within reach of gene upregulated pax2b
13:10311642-10312598 peak within reach of gene upregulated six3a
13:10261084-10261906 peak within reach of gene upregulated six3a
13:10264422-10265255 peak within reach of gene upregulated six3a
13:25852342-25853223 peak within reach of gene upregulated bcl11aa
13:29902260-29903179 peak within reach of gene upregulated pax2a
13:29883700-29884720 peak within reach of gene upregulated pax2a
13:29899253-29900045 peak within reach of gene upregulated pax2a
13:29881213-29882151 peak within reach of gene upregulated pax2a
13:30814563-30815439 peak within reach of gene upregulated cxcl12a
13:30779416-30780318 peak within reach of gene upregulated cxcl12a
13:3165272-3166182 peak within reach of gene upregulated pkdcca
13:3092708-3093611 peak within reach of gene upregulated pkdcca
13:31603583-31604349 peak within reach of gene upregulated six6a
13:31583913-31584669 peak within reach of gene upregulated six6a
13:31588159-31589049 peak within reach of gene upregulated six6a
13:31607177-31608063 peak within reach of gene upregulated six6a
13:43411045-43411944 peak within reach of gene upregulated smoc2
14:17480617-17481487 peak within reach of gene upregulated fgfrl1a
14:33747379-33748382 peak within reach of gene upregulated apln
15:15536053-15536959 peak within reach of gene upregulated traf4a
15:16281882-16282717 peak within reach of gene upregulated nxn
16:4376202-4377061 peak within reach of gene upregulated vegfaa
17:14837957-14838860 peak within reach of gene upregulated nid2a
17:21403503-21404418 peak within reach of gene upregulated eno4
17:21312470-21313685 peak within reach of gene upregulated eno4
17:21410162-21411074 peak within reach of gene upregulated eno4
